0,482,194,108,47
1,482,195,108,47
2,482,194,108,47
3,482,196,108,47
4,484,197,108,47
5,485,197,108,47
6,486,199,108,47
7,486,199,108,47
8,487,199,108,47
9,486,200,108,47
10,486,201,108,47
11,487,199,108,47
12,486,201,108,47
13,487,201,108,47
14,486,201,108,47
15,486,200,108,47
16,486,201,108,47
17,487,201,108,47
18,488,200,108,47
19,490,201,108,47
20,489,201,108,47
21,489,201,108,47
22,488,200,108,47
23,488,200,108,47
24,488,201,108,47
25,487,199,108,47
26,489,199,108,47
27,488,198,108,47
28,491,199,108,47
29,490,197,108,47
30,492,198,108,47
31,491,198,108,47
32,491,197,108,47
33,492,197,108,47
34,491,197,108,47
35,491,197,108,47
36,493,197,108,47
37,492,197,108,47
38,492,197,108,47
39,492,197,108,47
40,492,197,108,47
41,493,197,108,47
42,494,197,108,47
43,495,198,108,47
44,497,197,108,47
45,497,197,108,47
46,497,197,108,47
47,497,197,108,47
48,497,198,108,47
49,498,197,108,47
50,495,197,108,47
51,497,198,108,47
52,495,197,108,47
53,497,197,108,47
54,498,197,108,47
55,499,196,108,47
56,499,196,108,47
57,500,197,108,47
58,500,197,108,47
59,500,197,108,47
60,499,197,108,47
61,499,197,108,47
62,500,197,108,47
63,499,197,108,47
64,499,198,108,47
65,499,198,108,47
66,499,198,108,47
67,499,198,108,47
68,500,198,108,47
69,500,198,108,47
70,500,198,108,47
71,500,198,108,47
72,500,199,108,47
73,501,198,108,47
74,501,198,108,47
75,501,198,108,47
76,500,199,108,47
77,500,198,108,47
78,500,198,108,47
79,501,198,108,47
80,501,198,108,47
81,501,198,108,47
82,501,198,108,47
83,502,198,108,47
84,502,197,108,47
85,502,197,108,47
86,502,198,108,47
87,502,198,108,47
88,502,197,108,47
89,502,197,108,47
90,502,197,108,47
91,503,197,108,47
92,502,197,108,47
93,502,197,108,47
94,502,197,108,47
95,503,197,108,47
96,503,197,108,47
97,503,197,108,47
98,504,197,108,47
99,503,197,108,47
100,504,198,108,47
101,504,198,108,47
102,504,198,108,47
103,503,199,108,47
104,503,200,108,47
105,503,200,108,47
106,503,200,108,47
107,503,202,108,47
108,503,203,108,47
109,503,204,108,47
110,504,205,108,47
111,502,206,108,47
112,502,208,108,47
113,501,210,108,47
114,501,211,108,47
115,502,212,108,47
116,502,214,108,47
117,502,216,108,47
118,503,218,108,47
119,503,220,108,47
120,501,221,108,47
121,501,222,108,47
122,501,225,108,47
123,501,227,108,47
124,501,229,108,47
125,501,230,108,47
126,501,232,108,47
127,501,234,108,47
128,501,236,108,47
129,501,238,108,47
130,501,240,108,47
131,501,243,108,47
132,500,245,108,47
133,501,247,108,47
134,502,249,108,47
135,502,251,108,47
136,501,253,108,47
137,500,255,108,47
138,500,256,108,47
139,498,259,108,47
140,499,260,108,47
141,497,262,108,47
142,497,264,108,47
143,496,266,108,47
144,495,266,108,47
145,495,267,108,47
146,495,269,108,47
147,494,270,108,47
148,494,271,108,47
149,493,273,108,47
150,493,274,108,47
151,492,275,108,47
152,493,276,108,47
153,492,277,108,47
154,490,278,108,47
155,491,279,108,47
156,490,279,108,47
157,490,280,108,47
158,491,280,108,47
159,490,280,108,47
160,490,281,108,47
161,490,282,108,47
162,490,282,108,47
163,490,282,108,47
164,490,283,108,47
165,490,284,108,47
166,490,284,108,47
167,490,284,108,47
168,491,284,108,47
169,491,284,108,47
170,489,284,108,47
171,490,284,108,47
172,490,284,108,47
173,490,285,108,47
174,489,285,108,47
175,490,285,108,47
176,490,285,108,47
177,490,285,108,47
178,491,285,108,47
179,490,285,108,47
180,489,286,108,47
181,490,286,108,47
182,490,286,108,47
183,489,286,108,47
184,490,286,108,47
185,491,286,108,47
